Total Number of Blocks Added 	Latency (ms)	Size (KB) 
1 		68 	1 
2 		58 	1.676630012 
3 		52 	1.80099627 
4 		99 	2.191065643 
5 		88 	2.667001189 
6 		73 	3.309740713 
7 		88 	3.515161479 
8 		76 	3.836491024 
9 		63 	4.324181906 
10 		54 	4.791580001 
11 		50 	4.834887384 
12 		79 	5.700754552 
13 		61 	6.297813871 
14 		61 	7.076186094 
15 		85 	7.56565406 
16 		54 	7.903480172 
17 		96 	8.863450426 
18 		71 	9.590957972 
19 		90 	10.37443201 
20 		61 	11.02594822 
21 		56 	11.69199412 
22 		86 	12.17850274 
23 		85 	12.56390594 
24 		64 	13.06841052 
25 		68 	13.74722628 
26 		61 	14.0771886 
27 		60 	14.44633052 
28 		86 	15.2147355 
29 		57 	15.49110755 
30 		60 	16.1682639 
31 		91 	16.83065814 
32 		83 	17.03477289 
33 		94 	17.23181548 
34 		80 	17.58035202 
35 		55 	18.09235075 
36 		65 	18.24043432 
37 		94 	19.01559864 
38 		85 	19.81925885 
39 		82 	20.74654015 
40 		81 	21.13558804 
41 	50 	21.62478318 
42 	69 	22.46404744 
43 	67 	22.68949622 
44 	52 	22.79594813 
45 	77 	22.82118545 
46 	89 	22.90789407 
47 	73 	22.9299649 
48 	96 	23.82570577 
49 	77 	24.1814102 
50 	66 	24.79552041 
51 	88 	25.44796725 
52 	91 	26.04884179 
53 	71 	26.78681224 
54 	93 	26.81394639 
55 	57 	27.56236983 
56 	88 	28.42140061 
57 	74 	29.06229541 
58 	84 	29.780931 
59 	58 	30.44529886 
60 	95 	31.41627568 
61 	97 	32.27287949 
62 	53 	32.54698082 
63 	65 	32.95494852 
64 	87 	33.93053125 
65 	96 	34.86444699 
66 	89 	35.08343909 
67 	73 	35.41262537 
68 	88 	35.9676831 
69 	76 	36.14946716 
70 	64 	36.26079069 
71 	100 	36.58069434 
72 	60 	37.14435014 
73 	90 	37.89603115 
74 	99 	38.17761271 
75 	89 	38.42062308 
76 	100 	39.08251205 
77 	59 	39.54716311 
78 	77 	40.06919651 
79 	98 	40.13142635 
80 	83 	40.40406567 
81 	57 	40.54287096 
82 	93 	40.73321082 
83 	65 	41.62330798 
84 	76 	41.86925309 
85 	100 	42.27268253 
86 	64 	42.36936696 
87 	61 	42.56323722 
88 	77 	42.61835357 
89 	82 	42.88365227 
90 	68 	43.51085612 
91 	81 	44.04421152 
92 	78 	44.78257132 
93 	67 	45.32854023 
94 	84 	45.66800009 
95 	86 	46.63339708 
96 	91 	47.40697098 
97 	91 	48.05835209 
98 	74 	48.19819768 
99 	86 	49.18259257 
100 	75 	49.93414571 
101 	77 	50.07407482 
102 	83 	50.39212125 
103 	61 	50.81419975 
104 	99 	51.16371867 
105 	82 	51.97058509 
106 	99 	52.94903445 
107 	78 	53.37266355 
108 	76 	53.73062248 
109 	96 	54.08372963 
110 	66 	54.25084451 
111 	98 	54.57110711 
112 	63 	55.46574665 
113 	61 	56.39867524 
114 	67 	57.36033276 
115 	58 	58.16160463 
116 	52 	58.93343996 
117 	98 	58.94105926 
118 	57 	59.84822293 
119 	72 	60.45259032 
120 	51 	61.27178908 
121 	61 	61.27269712 
122 	98 	61.35072776 
123 	79 	62.27994169 
124 	53 	63.02080964 
125 	72 	63.04363405 
126 	89 	63.68532948 
127 	65 	63.68940703 
128 	95 	64.6577698 
129 	98 	65.49299361 
130 	97 	66.46266791 
131 	75 	66.6139667 
132 	86 	67.16689287 
133 	100 	67.78274814 
134 	96 	67.83613689 
135 	64 	68.02449961 
136 	70 	68.02795708 
137 	85 	68.36604772 
138 	52 	69.33671146 
139 	95 	69.41406832 
140 	57 	69.80094639 
141 	82 	70.66371996 
142 	85 	71.60670225 
143 	92 	72.14227306 
144 	76 	72.69614377 
145 	78 	73.06405809 
146 	57 	73.11199025 
147 	69 	73.25794695 
148 	81 	73.6665022 
149 	54 	73.90098033 
150 	93 	74.56133104 
151 	94 	75.48788168 
152 	81 	76.48737989 
153 	99 	77.47066871 
154 	53 	78.15607927 
155 	72 	78.74812478 
156 	76 	78.8297362 
157 	94 	79.34391134 
158 	52 	79.61461352 
159 	97 	79.67105028 
160 	83 	80.14348569 
161 	71 	81.00237364 
162 	64 	81.99071861 
163 	96 	82.86867682 
164 	94 	83.67561528 
165 	58 	84.40748857 
166 	65 	84.79807627 
167 	79 	85.59438151 
168 	93 	86.22637511 
169 	57 	86.31189084 
170 	61 	87.03731102 
171 	93 	87.60306846 
172 	98 	87.64458487 
173 	94 	87.83434332 
174 	74 	88.16210723 
175 	89 	88.7068273 
176 	56 	89.09683226 
177 	64 	89.6698397 
178 	100 	90.1153683 
179 	86 	90.8740879 
180 	58 	91.25056972 
181 	68 	91.94676654 
182 	75 	92.73709964 
183 	63 	93.28734201 
184 	92 	93.40098264 
185 	88 	93.84447918 
186 	77 	94.24142393 
187 	73 	95.17628315 
188 	64 	96.14499149 
189 	95 	96.78694469 
190 	90 	97.03093405 
191 	97 	97.09105224 
192 	58 	98.08684209 
193 	65 	98.25423331 
194 	69 	98.79356345 
195 	65 	99.05205721 
196 	82 	99.76760419 
197 	62 	100.0729828 
198 	84 	100.9928688 
199 	67 	101.0502353 
200 	67 	101.4726815 
201 	58 	102.2228309 
202 	81 	102.9831735 
203 	100 	103.014394 
204 	80 	103.2609761 
205 	87 	104.0540227 
206 	95 	104.6766178 
207 	80 	105.3297155 
208 	52 	105.8620792 
209 	50 	106.5569398 
210 	67 	106.6777542 
211 	63 	106.9632106 
212 	60 	107.2155519 
213 	72 	107.4373409 
214 	58 	108.0652857 
215 	67 	109.0205854 
216 	73 	109.1673692 
217 	87 	109.1725085 
218 	57 	109.8675044 
219 	77 	110.4497552 
220 	71 	110.982492 
221 	79 	111.3131644 
222 	91 	111.6443338 
223 	60 	112.3112242 
224 	64 	112.9383326 
225 	91 	113.7731097 
226 	99 	114.6661257 
227 	64 	115.2763645 
228 	68 	115.3807509 
229 	59 	115.6415371 
230 	99 	116.4572675 
231 	82 	116.4671681 
232 	87 	116.7497565 
233 	61 	117.3235237 
234 	78 	117.9062339 
235 	75 	118.8082993 
236 	94 	119.0442383 
237 	92 	119.2382189 
238 	100 	119.6021601 
239 	50 	120.5435573 
240 	55 	120.8668445 
241 	77 	120.9882207 
242 	87 	121.8092531 
243 	83 	121.985853 
244 	79 	122.6815466 
245 	74 	123.2597933 
246 	51 	123.4602786 
247 	72 	124.1443103 
248 	52 	125.0091684 
249 	83 	125.0092266 
250 	73 	125.1302676 
251 	89 	125.8445411 
252 	55 	125.9569964 
253 	74 	126.2807866 
254 	72 	126.7364014 
255 	81 	127.3840997 
256 	82 	127.8494551 
257 	50 	128.3370361 
258 	68 	128.4851564 
259 	97 	128.5860533 
260 	56 	129.1886873 
261 	79 	130.1406746 
262 	88 	130.2330845 
263 	74 	130.8864299 
264 	95 	131.701293 
265 	95 	131.7237754 
266 	89 	132.6969279 
267 	63 	133.2241354 
268 	56 	134.166474 
269 	78 	134.529617 
270 	70 	135.0076328 
271 	94 	135.6650373 
272 	65 	136.0510154 
273 	57 	136.0545189 
274 	84 	136.5071607 
275 	100 	137.0012435 
276 	98 	137.206368 
277 	99 	137.6745915 
278 	67 	137.773196 
279 	51 	137.8205464 
280 	56 	137.9532577 
281 	67 	138.0854388 
282 	127 	138.8926634 
283 	233 	139.3139105 
284 	249 	139.3691191 
285 	148 	140.033599 
286 	298 	140.9254904 
287 	273 	141.4780607 
288 	93 	141.5252083 
289 	173 	142.1490859 
290 	61 	142.8668993 
291 	241 	143.381852 
292 	274 	143.4281278 
293 	156 	143.5861451 
294 	97 	144.2631411 
295 	109 	144.7106818 
296 	231 	145.5674799 
297 	214 	146.3079379 
298 	119 	146.7312722 
299 	109 	147.0470467 
300 	196 	147.8740579 
301 	293 	148.1542826 
302 	267 	148.9595632 
303 	63 	149.753159 
304 	238 	150.404947 
305 	215 	150.6391637 
306 	206 	151.1489481 
307 	242 	151.6549981 
308 	241 	152.400073 
309 	86 	152.7021749 
310 	147 	153.046031 
311 	121 	153.5561639 
312 	133 	154.3174863 
313 	206 	154.587225 
314 	172 	155.4857031 
315 	67 	156.1616574 
316 	53 	156.6126621 
317 	153 	157.1145435 
318 	285 	157.5067755 
319 	131 	158.051727 
320 	233 	158.2736205 
321 	53 	158.904227 
322 	134 	159.1813463 
323 	236 	159.9457524 
324 	168 	160.0355499 
325 	183 	160.3831745 
326 	65 	160.4561798 
327 	163 	160.6481061 
328 	172 	160.8744582 
329 	103 	161.313828 
330 	173 	161.3986952 
331 	229 	162.232039 
332 	152 	163.140794 
333 	61 	163.1736096 
334 	109 	163.3830607 
335 	122 	163.9345643 
336 	251 	164.388767 
337 	67 	165.2410903 
338 	176 	165.8879061 
339 	125 	166.1368814 
340 	55 	166.688661 
341 	292 	166.7657022 
342 	192 	167.2893633 
343 	233 	167.3047888 
344 	91 	167.6646338 
345 	131 	168.004443 
346 	156 	168.1307758 
347 	186 	168.3085744 
348 	217 	168.9715108 
349 	240 	169.3024067 
350 	60 	169.4132775 
351 	146 	169.8094531 
352 	168 	170.0359335 
353 	61 	170.7021148 
354 	298 	171.2127197 
355 	60 	171.3103921 
356 	199 	171.4392481 
357 	58 	172.2744328 
358 	134 	172.4325492 
359 	247 	173.2192946 
360 	119 	173.595258 
361 	251 	174.4373828 
362 	154 	174.6224191 
363 	157 	174.7186224 
364 	60 	175.0293404 
365 	91 	175.5560703 
366 	282 	176.2081661 
367 	144 	176.9994427 
368 	182 	177.4269456 
369 	166 	177.7582298 
370 	263 	178.5666645 
371 	110 	178.6253724 
372 	96 	179.6172846 
373 	105 	179.6385039 
374 	247 	180.3690635 
375 	261 	181.3415485 
376 	69 	182.115137 
377 	218 	182.3503828 
378 	190 	182.4359419 
379 	274 	183.2230507 
380 	153 	183.5558724 
381 	292 	184.5197835 
382 	284 	184.9827968 
383 	194 	185.6994656 
384 	292 	186.3045601 
385 	300 	187.147331 
386 	273 	187.5042549 
387 	217 	187.8638021 
388 	194 	188.3508757 
389 	192 	188.5042252 
390 	81 	189.416181 
391 	94 	190.1023602 
392 	180 	191.0760872 
393 	237 	191.8430628 
394 	147 	192.058712 
395 	200 	192.3544876 
396 	196 	192.7081898 
397 	64 	192.7163731 
398 	288 	193.0196618 
399 	208 	193.9066614 
400 	53 	194.8305063 
401 	144 	195.1788133 
402 	58 	195.2980233 
403 	116 	195.3440376 
404 	98 	196.2608964 
405 	298 	196.5072764 
406 	178 	197.2446432 
407 	277 	197.7735068 
408 	216 	198.6215512 
409 	125 	198.7822734 
410 	181 	198.98611 
411 	256 	199.2235054 
412 	78 	199.3530919 
413 	68 	199.370545 
414 	245 	200.2250745 
415 	96 	200.2621788 
416 	231 	200.6382255 
417 	225 	201.1499979 
418 	86 	201.9239895 
419 	296 	202.6440026 
420 	240 	203.2833217 
421 	290 	204.0471004 
422 	132 	204.3990034 
423 	125 	204.4614019 
424 	212 	205.1442899 
425 	85 	205.5040299 
426 	86 	206.3068856 
427 	235 	206.5171558 
428 	156 	206.6302637 
429 	65 	206.6543361 
430 	295 	207.4150239 
431 	113 	208.2200352 
